Annotation,Explanation
"High flights, inhale the vapor, exhale once and think twice","This line suggests that Frank’s existential thoughts on his mortality in the previous lines are as a result of him smoking weed – high flights and inhale the vapor.

“High flights” is a double entendre, as it refers to both Frank’s drug high and the ‘hang gliding’ he does in the lines following. Inhale the vapor alludes to the previous lines' connotations of flames and burning.

When Frank “thinks twice,” this could be referring to his mortality or to the lover he cries over in the next line. Thinking twice displays vulnerableness and insecurity, a theme that is prevalent in the track."
"This, this fe—, this feel, this feel, this feels
 This feels how molly must feel
 This feels how molly must feel
 How molly must feel
 This feels how molly must feel
 How molly must feel","“Molly” is a slang term for MDMA, a drug that is constantly taken at parties and is also referred by other street terms such as ecstasy and X. Some of its side effects include euphoria, relaxation, increased social confidence, and experiencing the feeling of inner peace.

Fitting in with the calm, psychedelic vibe of “Seigfried” and how Frank feels as if he’s experiencing nirvana, he claims (in a sped-up voice which hints at euphoria) that he’s encountering effects similar to MDMA. He also subliminally mentions experiencing depression in the preceding line and throughout most of Blonde which is why Frank is consuming molly.

Frank partially used this line in the opening track for his 2013 European tour, “Feel California”:

This is how molly must feel
How molly must feel word
Molly must feel, word
Know what I mean"
"Rare as the feathers on my dash from a phoenix
 There with my crooked teeth and companion sleeping, yeah
 Dreaming a thought that could dream about a thought
 That could think of the dreamer that thought
 That could think of dreaming and getting a glimmer of God
 I be dreaming of dreaming a thought
 That could dream about a thought
 That could think of dreaming a dream
 Where I cannot, where I cannot","The phoenix is a rare and mythical beast that would sooner burn completely to ash than leave a feather in its' place. This spirit of nirvana, or joy, is as rare as that very creature to Frank. He dreams within a dream, feels within a seam of thinking between the lines as  Sartre and Philip K. Dick might; trying to find a thought within a thought: between drugs and misunderstandings.

He’s getting lost in his thoughts hoping he could see God. He thinks of a dreamer who could think of dreaming and gets a glimmer of God. Frank thinks of a hopeful guy, who in his hopefulness and faith gets a glimmer of God. But then when Frank tries to get the glimmer of God, within his own thoughts and efforts, he cannot. The glimmer of God, like nirvana, is as rare as the feathers from a phoenix.

Less spiritually speaking and more philosophically: this also fits in with the theory of reflexivity: “the movement whereby that which has been used to generate a system is made, through a changed perspective, to become part of the system it generates” (Hayles, How we Became Posthuman, page 43). Similarly, Jorge Luis Borges' story, “The Circular Ruins,” in which Borges “imagines a narrator who creates a student through his dreaming only to discover that he himself is being dreamed by another” (43) details a similar line of philosophical thinking that is trapped in reflexivity, which appears critical to Frank’s lyrics here."
"Eat some shrooms, maybe have a good cry about you
 See some colors, light hang glide off the moon","Shrooms is a nickname for psilocybin mushrooms, one of the more common psychedelic drugs. They’re known to send people on mind-bending trips and invoke strong emotion, hence Frank taking some to escape the sadness about his failed relationship, or maybe have a therapeutic cry about it."
"Less morose and more present
 Dwell on my gifts for a second, a moment","As Frank so often does, he uses a play on words to emphasize his shift in mindsets. The “present” is a gift on its own, and worth getting out of his own head to appreciate. Frank is ditching his sullen attitude and thoughts, trading them in for a more positively-focused mindset.

However, this resolution is immediately undermined by the next set of lines which take a turn for the morbid, musing on how fragile our existence is and the likelihood that our lives could end at any moment."
"I’m not brave
 I’d rather live outside
 I’d rather live outside
 I’d rather go to jail",Frank would rather live on the streets or in jail than to surrender his life and lifestyle to the typical American suburban dream.
"Maybe I’m a fool
 Maybe I should move and settle
 Two kids and a swimming pool","Frank speaks about his interest in pursuing the American Dream and “settling down” to start a family with two children and a swimming pool. In the lines before, he claims he’d prefer to leave the limelight of fame and the chaos of the artist’s life. His ideas of conforming to societal expectations and starting a family are reminiscent of 1950s America after World War 2, which saw millions of Americans move out to the suburbs and inspired a baby boom. These lines call back to  earlier lines from “Solo,” where Frank discusses a suburban couple’s struggle with divorce:

Now your baby momma ain’t so vicious
All she want is her picket fence
And you protest and you picket sign
But them courts won’t side with you

Frank could also be speaking about his struggles being a queer man who feels pressure from society to settle down with a woman, ignoring that he has interests in men as well. By “living outside,” Frank suggests he will escape those social pressures and live his life as he chooses."
"I’m living over city
 And taking in the homeless sometimes, I’ve","Frank has already said he’d rather live outside. When he’s in the city he sees the homeless and doesn’t think their life is too bad.

Alternatively, he is taking “the homeless,” meaning flings, family and friends, strangers—people who do not feel like they have a home to go back to, either literally or figuratively—into his house in the city. He doesn’t mind giving up his space to help others. This returns to the rejection of physical goods."
"(In the dark)
 (In the dark)
 I’d do anything for you
 (In the dark)
 I’d do anything for you
 (In the dark)
 I’d do anything for you
 (In the dark)
 I’d do anything for you
 (In the dark)
 I’d do anything for you, anything for you
 (In the dark)
 I’d do anything for you, anything for","Frank is so invested in this person that he would do anything for them, even where no one can see, just to show that it doesn’t matter if anyone sees his efforts, he just wants to do the best he can for this person.
He is desperate and will do anything to please his lover in the dark. He knows he can’t be with this person all the time (the light) but he can be with them in the dark where no one knows.
Perhaps a loose metaphor for being in the closet. He’s in love with a closeted man, so anything he does for him has to be out of the public eye."
"I’ve tried hell
 (It’s a loop) What would you recommend I do?
 (The other side of the loop is a loop)","On Blonde’s fifth track, “Solo,” Frank uses the metaphorical depths of hell (plus some wordplay with “solo/so low” and “inhale/in hell”) to symbolize the depths of depression.

He continues the directional metaphors with this “loop”, which harkens back to the cyclical nature of life touched on in “Nights”:

Every night fucks every day up
Every day patches the night up

Depression can tend to be cyclical (or “recurrent”) as well. It is expressed here as a recurrent “hell” that Frank has experienced and ostensibly can’t escape, given the fact that a loop is, by definition, self-enclosed.

The “other side of a loop is a loop” evokes the infinity symbol."
This love will keep us through blinding of the eyes,"The love Frank has experienced will last forever, despite any drastic changes throughout his life. Additionally, the idea of love sticking with the two through blindness suggests that Frank’s feelings are rooted in a deep connection, rather than just a physical one.

Frank may also be saying that their love has made the two better with relationships with future partners as they have learned from their mistakes and won’t dive straight into relationships as hastily."
"Let go of a prayer for you
 Just a sweet word
 The table is prepared for you","Regardless of the fact Frank has lost his “claim” on this person, he still wishes them all the best, going as far as praying for them. Past even that, he assures them that there is always a table to which they can return and break bread.

Finally, adding to the religious allusions throughout the song, Frank references Psalms 23:

You prepare a table before me in the presence of my enemies

This suggests that Frank will always offer shelter and security to them amidst the turmoil of the world."
"You’ll look down on where you came from sometimes
 But you’ll have this place to call home always","This is a quintessential American narrative in as much as we’re encouraged to leave home and look for ‘better’ things, which ultimately displaces the unique singularity that is ‘home.’  Frank assures his younger self, and others, that although they may grow and change, beginning to resent this place, they’ll always be able to claim that place as home.

“Look down on where you came from” may be a reference to either looking down on the relationship or to the place the couple grew up."
"I let go of my claim on you
 It’s a free world","This line directly contrasts the theme of “Bad Religion,” another religious-themed track. Throughout Blonde and Channel Orange, Frank tries to get back together with someone he’s loved dearly. However, this person never returns his affection, resulting in unrequited love, or Frank’s “claim” on this person.

In “Bad Religion,” Frank professes that he could “never make him love me,” though he tries repeatedly. At the time, Frank was stuck in the “one-man cult” of loving this person. Now he can be free."
"I will always love you
 How I do","In the Boys Don’t Cry magazine which accompanied the album, Frank wrote about how he missed his teenage years:

I don’t think I shed a tear for a good chunk of my teenage years. It’s surprisingly my favorite part of life so far… Maybe that part had its rough stretches too, but in my rearview mirror, it’s getting small enough to convince myself it was all good.

This line could be a reference to those years. He will always love those teenage years as they seem perfect to him now. Those were the days boys didn’t cry."
"Oh, oh
 I’ll always love you
 Until the time we die
 Oh, oh","This holds as a sweet goodbye and release for Frank Ocean. He’s let go of the love he’s had for this person. Usually when people separate, it’s from a place of anger and hatred for this person. But since this person is “a positive motivating force” in his life, there’s no hard feelings.

This is sung by Kim Burrell, who is widely considered to be one of the greatest gospel singers of all time."
"Wishing you godspeed, glory
 There will be mountains you won’t move
 Still, I’ll always be there for you
 How I do","To wish one godspeed is to wish one good luck and safety on their journey.

Unlike a younger Frank in nostalgia, ULTRA. and even Channel ORANGE, Frank has matured to a point where he feels he can give assurance to others who may be going through the same things he has.

The significance of the term godspeed is of particular interest regarding Frank. Having both chosen to believe in God and question religion entirely, it appears that while conflicted, Frank still hopes that God will watch over himself and those he cares about.

The moving mountains portion alludes to Matthew 17:20:

He replied, “Because you have so little faith. Truly I tell you, if you have faith as small as a mustard seed, you can say to this mountain, ‘Move from here to there,’ and it will move. Nothing will be impossible for you.”

This means that sometimes you won’t have enough faith and may fail at times."
"[Sage]
 Probably, uh, probably Tyler, his life seems pretty awesome
 No, actually, no, fuck him uh
 I don’t know
 Probably Dill, ’cause he doesn’t have to do anything at all
 Just sits inside his house","The question asked to them was: if you could be anyone else who would you be?
Sage says Tyler (The Creator) but takes it back soon after remembering how crazy Tyler’s life is and how much work it would involve.
He then choses Dill (Jason Dill, founder of Fucking Awesome) instead because he is rich, retired, and gets to relax all day."
"Talents? Um, I can play the theremin","The theremin is an electronic instrument played by the movement of a person’s hands in the air, which allows them to control both its volume and frequency. The theremin is known for its eerie, and off-putting sound, and was often used in science fiction films before being popularized by The Beach Boys after the instrument was used in their acclaimed song, “Good Vibrations”. This likely was no coincidence, as Ocean has reported in a 2013 interview with NME:

When I was making the first [album] there were a group of artists that I listened to, just for inspiration and to absorb the energies. It was a lot of Stevie Wonder, and this time it’s a lot of Beach Boys and Beatles and whatnot, so we’ll see how it trickles into the music and the final product. I can’t say much other than that.

The Beatles are credited in the tracks “White Ferrari” and “Seigfried” for the use of their melodies and samples. The theremin is used several tracks prior during the instrumental interlude of “Skyline To”."
"I wish I could sleep without, like, being dead
 But forever at the same time","These lines were widely attributed to Frank’s brother Ryan Breaux both on social media and on Genius in the wake of his untimely death at age 18. While Mikey Alfred’s interview with Breaux for Boys Don’t Cry magazine was included on the album, this line is from his interview with Evan Clark, a friend of Frank. Some of Clark’s answers from the interview are shown below:"
You say I’m changing on you,"Some of the people who Knew Frank before he legally changed his name and had critical Acclaim believe that he has changed as a person since he is becoming successful as he pursues his true passion, a career in music. In all honesty A lot of things have changed with Frank since 2009.


His Name
The Color of his hair
The amount of income that he’s now earning (Previously spoken of in this song)
His openness with his sexuality as he didn’t always Identify as bisexual.
What he does for a living
The Amount of Cars He now owns
And arguably what’s most important as well as what brought him his fame and fortune in the first place his music



Frank’s music has changed sonically as he’s grown older over these last four years. Blonde is a completely different sounding album compared to the lush and soothing more poppy, commercial, and accessible songs that are on his debut channel ORANGE. Frank’s new direction is almost Radiohead-like in the way that some songs are put together, this time around the songs are even more personal, dynamic, progressive and moody then ever before."
"You can change this track now, could’ve changed this bitch a long time ago","After tweeting briefly about the situation, Frank Ocean was mostly quiet about the entire altercation. He went on to still perform at the Grammys – bandaged hand and all – and received a standing ovation from everyone except Chris Brown when he won the award for Best Urban Complementary Album.



Since then, there has been a surprising turn of the cheek by Ocean, even though he didn’t back down during the actual altercation. Several artists such as Jay-Z and Adele, among others, took his side after the incident. Ocean has chosen again to make a ‘chess move’ and not play ‘fetch’ by continuously addressing the incident. This was actually one of the first times Frank publicly addressed the incident, and just like that he changes the “track” of the lyrics, deciding to go in a different direction on this “track”.

When Ocean sings that it could’ve been changed ‘a long time ago’, it may be a reference to Chris Brown and Frank Ocean’s 2011 Twitter feud, where Brown seemed to complimented Frank, comparing him to James Fauntleroy and Kevin Cossum, and Frank dissed back by comparing him to Ike Turner and Sisqo, who have histories of domestic violence, like Brown. Frank may feel that if he had not tweeted the petty clapback, the entire public ‘feud’ could have been avoided.

As mentioned in the previous line, Frank used to run track & field in high school, so he recognizes that changing tracks isn’t hard for him.

Unlike Frank, Ocean’s cousin started legal proceedings against Chris Brown who also fired back with a countersuit."
"Ain’t ran since track meets, that’s the only time I ran from a nigga","After their 2013 altercation, Frank Ocean stayed on the scene while Chris Brown left before the police arrived. That is why the LAPD considered Ocean the victim of the incident, even though no charges ever came of it.

Frank believes he’s come too far to try to back down, or run from anyone. This may explain why he got involved in the incident in the first place – some reports claimed that Ocean confronted Brown because someone in his entourage parked in Ocean’s parking spot and dissed Rihanna somewhere along the way, but other reports claim that the whole situation was initiated by Brown because Frank didn’t want to shake his hand . Either way, once it all began, Frank was not going to back down or walk away, because that’s exactly what people – Brown & company, and Frank’s haters – expect him to do (“this is chess now, not fetch”). Frank hasn’t run from anyone, figuratively and literally, except when he was an athlete in high school, and he wasn’t going to start again."
"Goddamn, fuck these lames, they don’t want none
 Fuck these lames, they don’t want none
 Fuck these niggas
 Fuck these niggas, they don’t want none
 Fuck these niggas
 Fuck you niggas and
 Fuck me if I hated on you","After a long talk with his momma about how far he’s come—from minimum wage jobs to 6-figure shows—Frank takes a moment to let his haters and naysayers know how he feels. With a bouncing barrage of F-bombs, incessant and stuttering, he makes his contempt be known, and he switches from the third person to second, now speaking to them directly. Not one to put himself above reproach, he closes with “fuck me if I hated on you” to let those lames know he can dish it out as well as he can take it."
"—know and —know, —know and —know","Frank’s staccato flow seems to be a result of words being bleeped out. On Frank’s reddit which (Malay reads) a theory regarding missing lyrics suggests references to Berghain/ The Booty Club have been omitted. A bunch of songs on the album do this, most notably “Nights”."
"Shit went one-eighty on me, please run that back, though","Frank’s life has completely changed since Nostalgia, Ultra but as he expresses in his magazine, his teenage years were some of the best years of his entire life. He seems to be grateful for his stardom, but he still catches himself reminiscing over the past.

Assuming this is all freestyle, he could also be kind of segueing into comments to the studio tech. In other words, “This didn’t go where I thought I was going with this, but play it back for me anyway.”

Another (vague) possibility is that this is a continuation of the message to Chris Brown: “This ‘track’ (conflict) wasn’t supposed to turn into a brawl, but here we are.  Come at me bro”…To support that, the intervening stuff about where Frank’s from could be interpreted as “we don’t fuck around where I’m from”."
"I’ma stick around
 I’m gon’ let my nuts hang","Frank lets the ‘lames’ he referred to before that he doesn’t plan to go anywhere – in fact, he’s going to be around more now than ever, essentially showing off to those that are envious/hating.

While this expression probably has no clear originator, it does echo Lil B’s “3 Stacks” (an inspirational track named after Ocean collaborator Andre 3000)

Everything is anything
And anything is everything
I don’t care, I let my nuts hang
For the whole world cos I’m back now

On his Tumblr, Frank mentions “Trading jewels and soaking in parables with the many-headed Brandon aka BasedGod in conversation” during the making of this album."
